catid,lat,lng,Description,Name,PHOTOURL,Opening_Hours,ADDRESSSTREETNAME
TouristAttraction,103.84763,1.28094,"Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.","Thian Hock Keng Temple, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/thian-hock-kheng-temple-carousel01-rect.jpg,,158 Telok Ayer Street
TouristAttraction,103.89942,1.31007,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,Eurasian Heritage Centre: Singapore Attraction,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/eurasian-heritage-centre-carousel01-rect.jpg,,139 Ceylon Road
TouristAttraction,103.8373356,1.2772186,"With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.",Shophouses,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/shophouses-typology-carousel01-rect.jpg,,UPDATING
TouristAttraction,103.84142,1.27549,The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.,Pinnacle@Duxton,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-pinnacle-duxton-carousel01-rect.jpg,,1 Cantonment Road
TouristAttraction,103.86285,1.30291,The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences.,Hajjah Fatimah Mosque,/content/dam/desktop/global/see-do-singapore/architecture/hajjah-fatimah-mosque-carousel01-rect.jpg,,4001 Beach Road
TouristAttraction,103.78314,1.28551,Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park.,Haw Par Villa: Singapore Theme Park,UPDATING,,262 Pasir Panjang Road
TouristAttraction,103.83731,1.27731,"This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.",NUS Baba House - Singapore Peranakan Architecture,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/baba-house-carousel02-rect.jpg,,157 Neil Road
TouristAttraction,103.841222,1.29316,"Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.",Hong San See Temple Singapore,UPDATING,,31 Mohamed Sultan Road
TouristAttraction,103.85157,1.29354,The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.,Capitol Building Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/capitol-building-carousel01-rect-norender.jpg,,11 Stamford Road
TouristAttraction,103.85528,1.28986,This boldly designed performing arts centre has become a memorable part of Singapore’s skyline.,Esplanade Theatre,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-esplanade-theatres-on-the-bay-carousel01-rect.jpg,,1 Esplanade Drive
TouristAttraction,103.863613,1.281568,"The lush and beautiful Gardens by the Bay is dominated by the sleekly sculptured biodomes – marvels of architecture, design and engineering.",Gardens by the Bay,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/gardens-by-the-bay-carousel01-rect.jpg,,18 Marina Gardens Drive
TouristAttraction,103.80305,1.28199,There’s more than meets the eye in The Interlace’s artful arrangement of residential blocks.,The Interlace,UPDATING,,180-226 Depot Road
TouristAttraction,103.846522,1.285563,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.,PARKROYAL on Pickering,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/parkroyal-pickering-carousel01-rect.jpg,,3 Upper Pickering Street
TouristAttraction,103.8516,1.3029,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,Lasalle College of the Arts,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/503-lasalle-college-of-the-arts-carousel01-rect..jpg,,1 McNally Street
TouristAttraction,103.85128,1.2897,"From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.",Old Supreme Court Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/old-supreme-court-carousel01-rect.jpg,,1 St Andrew's Road
TouristAttraction,103.8336,1.28351,Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.,SIT Flats Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/sit-flat-carousel01-rect.jpg,,Seng Poh Road and Tiong Bahru Road
TouristAttraction,103.85044,1.28072,"The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience.",Lau Pa Sat Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/lau-pa-sat-carousel01-rect.jpg,,18 Raffles Quay
TouristAttraction,103.85986,1.30309,The Malay Heritage Centre is a must-visit if you’re keen on learning about the rich heritage and culture of Singapore’s Malay community.,"Malay Heritage Centre, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/malay-heritage-centre-carousel01-rect.jpg,,85 Sultan Gate
TouristAttraction,103.8492,1.29421,"Get to know Singapore’s vibrant Peranakan community and history at this top-notch museum, filled with fine artefacts and fun exhibits.",Peranakan Museum Singapore: History & Culture,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/peranakan-museum-carousel01-rect.jpg,,39 Armenian Street
TouristAttraction,103.85404,1.29579,"Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life.",Raffles Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/raffles-hotel-carousel03-rect.jpg,,1 Beach Road
TouristAttraction,103.80459,1.2784,A former British military camp is now Asia's new Destination for Contemporary Art.,Gillman Barracks – YourSingapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/543-GillmanBarracks-Carousel01-rect.jpg,,9 Lock Road
TouristAttraction,103.84883,1.29689,Singapore’s oldest museum is a progressive showcase of the country’s history and culture.,National Museum of Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/national-museum-of-singapore-carousel01-rect.jpg,,93 Stamford Road
TouristAttraction,103.87584,1.36431,"Located in Hougang, this is the largest Japanese cemetery in Southeast Asia and the burial ground of Singapore’s early Japanese community.",The Japanese Cemetery Park,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/japanese-cemetery-park-carousel01-rect.jpg,,825B Chuan Hoe Avenue
TouristAttraction,103.85238,1.28704,Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.,"Dalhousie Obelisk, a Singapore Landmark",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/dalhousie-obelisk-carousel01-rect.jpg,,1 Empress Place
TouristAttraction,103.850845,1.287766,"The sculpture depicts Sir Stamford Raffles, founder of modern Singapore. Two statues exist, at the Raffles Landing Site and Empress Place.",Raffles Statue â€“ Sir Stamford Raffles Landing Site,UPDATING,,"Raffles Landing Site , 59 Boat Quay"
TouristAttraction,103.8487,1.29294,The Singapore Philatelic Museum offers windows into Singapore and the world through stamps.,Singapore Philatelic Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-philatetic-museum-carousel01-rect.jpg,,23-B Coleman Street
TouristAttraction,103.853027,1.288483,This gazetted national monument at Esplanade Park commemorates one of Singapore’s heroes from World War II.,Lim Bo Seng Memorial,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/lim-bo-seng-memorial-carousel01-rect.jpg,,"Esplanade Park, Connaught Drive"
TouristAttraction,103.75749,1.41903,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.,Kranji War Memorial Landmark in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/kranji-war-memorial-carousel01-rect.jpg,,9 Woodlands Road
TouristAttraction,103.854217,1.289954,This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II.,Indian National Army (INA) Monument in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/indian-national-army-carousel01-rect.jpg,,Esplanade Park
TouristAttraction,103.79433,1.27954,"This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.",Reflections at Bukit Chandu: Singapore War Memorial,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/reflections-at-bukit-chandu-carousel01-rect.jpg,,31-K Pepys Road
TouristAttraction,103.8538376,1.290348,This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II.,The Cenotaph - a Singapore War Memorial Landmark,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/cenotaph-carousel01-rect.jpg,,"Esplanade Park, Connaught Drive"
TouristAttraction,103.854618,1.293123,"Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore.",The Civilian War Memorial park in Singapore,UPDATING,,Bras Basah Road & Beach Road intersection
TouristAttraction,103.85258,1.30779,"Sri Veeramakaliamman Temple is one of Singapore’s oldest Hindu temples, in the heart of Little India.",Sri Veeramakaliamman Temple: Hindu Temple in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-veeramakaliamman-temple-carousel01-rect.jpg,,141 Serangoon Road
TouristAttraction,103.85081,1.29821,"The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture.",Maghain Aboth Synagogue,UPDATING,,24/26 Waterloo Street
TouristAttraction,103.859171,1.302379,"Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singapore’s Muslim community.",Sultan Mosque (Masjid Sultan) Singapore,UPDATING,,3 Muscat Street
TouristAttraction,103.84538,1.28243,"Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.",Sri Mariamman Temple: Hindu Temple in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-mariamman-temple-carousel02-rect.jpg,,244 South Bridge Road
TouristAttraction,103.84966,1.29293,The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.,Armenian Church in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/armenian-church-carousel01-rect.jpg,,60 Hill Street
TouristAttraction,103.85168,1.29526,"Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.",CHIJMES Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/chijmes-carousel01-rect.jpg,,30 Victoria Street
TouristAttraction,103.85231,1.29249,Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.,St Andrew’s Cathedral- Singapore Architecture Landmark,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/st-andrews-cathedral-temple-carousel01-rect-norender.jpg,,11 St Andrew's Road
TouristAttraction,103.85929,1.28624,Catch world-class touring exhibitions at this premier exhibition space.,ArtScience Museum Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/art-science-musuem-carousel01-rect.jpg,,6 Bayfront Ave
TouristAttraction,103.76883,1.35232,The Old Ford Factory holds an archive of memories about Singapore's wartime occupation by the Japanese.,Old Ford Factory Singapore Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/memories-at-ford-factory-carousel01-rect.jpg,,351 Upper Bukit Timah Road
TouristAttraction,103.84452,1.28343,The rare collection of currencies on display here tells Singapore’s story through the money it has used over the years.,Singapore Coins and Notes Museum & Museum Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-coins-and-notes-museum-carousel01-rect.jpg,,"40 Pagoda Street, Level 1"
TouristAttraction,103.84513,1.27987,The Singapore City Gallery tells the story of the city’s physical transformation.,Singapore City Gallery,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-city-gallery-carousel02-rect.jpg,,"45 Maxwell Road, The URA Centre"
TouristAttraction,103.97403,1.36218,Changi Museum provides an emotional exploration of Singapore’s wartime history during the Japanese Occupation.,Changi Museum Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/changi-museum-carousel01-rect.jpg,,1000 Upper Changi Road North
TouristAttraction,103.85439,1.29631,This toy museum will delight both adults and kids with the vast collection of vintage toys and memorabilia from around the world.,MINT Museum of Toys Singapore & Toy Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/mint-museum-of-toys-carousel02-rect.jpg,,26 Seah Street
TouristAttraction,103.68398,1.34379,The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.,"Chinese Heritage Centre, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/chinese-heritage-centre-carousel02-rect.jpg,,12 Nanyang Drive
TouristAttraction,103.8595,1.30238,"Discover Kampong Glam's rich history, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood.",Kampong Glam & Malay Culture in Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/kampong-glam-carousel01-rect-norender.jpg,,3 Muscat Street
TouristAttraction,103.8045,1.275,"This university arts research centre explores contemporary art through exhibitions, public programmes, residencies and research programmes.",Contemporary Arts Center,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/afiq_omar_rect.jpg,,43 Malan Road
TouristAttraction,103.84934,1.2944,This experimental arts centre gives a space for contemporary artists to try out new concepts.,"The Substation, Singapore Contemporary Art Centre",UPDATING,,45 Armenian Street
TouristAttraction,103.84572,1.27828,"This museum holds more than 1,000 award-winning products, communications and concepts that will delight design fans.","Red Dot Design Museum, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/red-dot-design-museum-carousel01-rect.jpg,,"28 Maxwell Road, Red Dot Traffic"
TouristAttraction,103.851068,1.297424,"Singapore Art Museum is Singapore’s contemporary art museum, focused on Southeast Asian contemporary art.",Singapore Art Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/singapore-art-museum-carousel01-rect-norender.jpg,,71 Bras Basah Road
TouristAttraction,103.85528,1.2898,Catch a non-stop line-up of world-class performances at Singapore’s premier arts centre.,Esplanade Theatres on the Bay,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/the-esplanade-carousel01-rect.jpg,,1 Esplanade Drive
TouristAttraction,103.85351,1.29882,"The National Design Centre is the nexus for all things design. It hosts design exhibitions, events and programmes that will quicken the pulse of design lovers.","National Design Centre, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/national-design-centre-carousel01-rect.jpg,,111 Middle Road
TouristAttraction,103.851641,1.28837,"After a four-year refurbishment, the Victoria Theatre and Concert Hall has since reopened, with its first official concert held there in August 2014.",Victoria Theatre Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/victoria-theatre-concert-hall-caurousel01-rect.jpg,,11 Empress Place
TouristAttraction,103.7726864,1.3017749,Get a deeper insight into Asian art and artefacts at this museum on the campus of the National University of Singapore.,"NUS University Museum, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/nus-museum-carousel01-rect.jpg,,"50 Kent Ridge Crescent, National University of Singapore"
TouristAttraction,103.84692,1.32795,This revamped museum is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.,Sun Yat Sen Memorial Hall,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/sun-yat-sen-memorial-hall-carousel01-rect.jpg,,12 Tai Gin Road
TouristAttraction,103.851723,1.287384,"Housed in a historical building by the Singapore River, this museum tells the stories of Asian civilisations through its permanent collections.",Asian Civilisations Museum & Singapore Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/asian-civilizations-museum-carousel01-rect.jpg,,1 Empress Place
TouristAttraction,103.815914,1.31384,"Singapore’s oldest garden is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.",Singapore Botanic Gardens,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/singapore-botanic-gardens-carousel01-rect.jpg,,1 Cluny Road
TouristAttraction,103.793023,1.404348,"Singapore’s zoo is a beautiful, award-winning wildlife park, where animals can roam freely in their natural habitats.",Singapore Zoo: Attractions & Things to Do,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/singapore-zoo-carousel04-rect.jpg,,80 Mandai Lake Road
TouristAttraction,103.789423,1.403732,"At the River Safari Singapore, meet manatees and monkeys, piranhas and pandas, as they congregate in and around the park’s waters.",River Safari Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/river-safari-singapore-carousel01-rect.jpg,,80 Mandai Lake Road
TouristAttraction,103.8192057,1.2713746,Getting to this hilltop dining and entertainment spot at Mount Faber by cable car  is half the fun.,Cable Car Singapore & Mount Faber,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/mount-faber-carouse01-rect.jpg,,109 Mount Faber Road
TouristAttraction,103.788061,1.402187,"Instead of going to a club, pop into another popular nightspot, the Night Safari, and mingle with a different crowd of animals at this special zoo.","Night Safari, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/night-safari-carousel01-rect.jpg,,80 Mandai Lake Road
TouristAttraction,103.9592605,1.4137409,"Gravel roads, lush forests and abundant wildlife â€“ Pulau Ubin is a living showcase of what Singapore was like in the 1960s.",Pulau Ubin & Singapore Islands,UPDATING,,Pulau Ubin
TouristAttraction,103.84982,1.30723,Little India is a buzzing historic area that shows off the best of Singapore’s Indian community from vibrant culture to incredible shopping.,Little India Singapore: History & Culture,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/little-india-carousel01-rect.jpg,,60 Bukit Timah Road
TouristAttraction,103.83249,1.30429,"Orchard Road, Asia’s most famous shopping street, is home to fashion favourites, specialist stores and loads of other lifestyle choices.","Orchard Road, Singapore: Asia's Most Famous Shopping Street",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/orchard-carousel01-rect.jpg,,437 Orchard Road
TouristAttraction,103.822346,1.344843,The attractions around MacRitchie Reservoir is a playground of nature for those who love the outdoors.,MacRitchie Singapore & Singapore Nature Reserve,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/macritchie-nature-reserve-carousel01-rect.jpg,,MacRitchie Reservoir Park
TouristAttraction,103.863613,1.281568,"This sprawling garden in the city provides mesmerising waterfront views across three gardens, spanning over 101 hectares of reclaimed land.",Gardens by the Bay,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/gardens-by-the-bay-carousel02-rect.jpg,,18 Marina Gardens Drive
TouristAttraction,103.85222,1.29324,"The Civic District is where Singapore’s historical, architectural and cultural heritage started.","Civic District, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/civic-district-carousel01-rect.jpg,,150 North Bridge Road
TouristAttraction,103.82057,1.26532,"HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a regional ferry or simply want to eat, shop or relax.","HarbourFront, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/harbourfront-carousel01-rect.jpg,,81 Telok Blangah Road
TouristAttraction,103.85624,1.30069,"The Bras Basah.Bugis Precinct is the arts and heritage district in Singapore's civic centre, and home to museums and monuments.","Bras Basah.Bugis, Singapore Cultural District",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/bras-basah-bugis-carousel01-rect.jpg,,220 Victoria Street
TouristAttraction,103.85168,1.29731,"An extension of the Singapore Art Museum, SAM at 8Q features contemporary art exhibitions and is home to a Moving Image Gallery, where film screenings are held.",SAM at 8Q & Singapore Art Museum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/8q-sam-carousel01-rect.jpg,,8 Queen Street
TouristAttraction,103.84554,1.28311,"Also known as Masjid Chulia, Jamae Mosque is one of Singapore’s oldest mosques and a prominent landmark in Chinatown since the 1820s.",Jamae Mosque (Masjid Chulia) Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/jamae-mosque-carousel01-rect.jpg,,218 South Bridge Road
TouristAttraction,103.8516,1.3029,This experimental art space housed in a tertiary arts college will help you deepen your understanding of contemporary art.,Institute of Contemporary Arts Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/institute-for-contemporary-art-carousel01-rect.jpg,,"LASALLE College of the Arts, 1 McNally Street"
TouristAttraction,103.863137,1.289299,"This giant observation wheel offers 360-degree city views, a panorama that stretches to parts of Malaysia and Indonesia on a clear day.",Singapore Flyer,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/singapore-flyer-carousel01-rect-norender.jpg,,30 Raffles Avenue
TouristAttraction,103.86081,1.283456,"A feat of engineering, an architectural statement and a sheer aesthetic triumph, Marina Bay Sands<sup>®</sup> has upped the ante for buildings in Singapore.",Marina Bay Sands®,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/marina-bay-sands-carousel01-rect.jpg,,10 Bayfront Avenue
TouristAttraction,103.87159,1.28063,This innovative facility not only supplies water to Singaporeans and helps alleviate floods but also doubles up as a place for family fun.,Marina Barrage,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/marina-barrage-carousel01-rect.jpg,,8 Marina Gardens Drive
TouristAttraction,103.8152539,1.2762425,Lush jungle is broken up with a seriously creative twist in the fantastic form of the Henderson Waves bridge.,Henderson Waves Bridge,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/henderson-waves-carousel01-rect.jpg,,Henderson Road
TouristAttraction,103.801944,1.265833,"With its rich biodiversity and war relics, nature lovers and history enthusiasts will find plenty to do at Labrador Nature Reserve.",Labrador Nature Reserve,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/labrador-nature-reserve-carousel01-rect.jpg,,Labrador Villa Road
TouristAttraction,103.856454,1.2802848,"Marina Bay represents all things modern and super-stylish, from trendy dining destinations to exciting leisure spots.",Marina Bay Singapore: Attractions & Things to do,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/marina-bay-area-carousel01-rect.jpg,,11 Marina Boulevard
TouristAttraction,103.85899,1.2838785,"This iconic integrated resort boasts luxury accommodations, upscale shopping and an infinity pool with unparalleled views of the city.","Marina Bay Sands, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/marina-bay-sands-carousel01-rect.jpg,,10 Bayfront Avenue
TouristAttraction,103.96371,1.407866,"A world away from shopping malls and glitzy hotels, this natural wonder is one of Singapore’s richest eco-systems.",Chek Jawa,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/chek-jawa-carousel03-rect-norender.jpg,,"Chek Jawa, Pulau Ubin"
TouristAttraction,103.854552,1.286862,"Half-fish and half-lion, the iconic Merlion resides at the waterfront Merlion Park.","Merlion Park, Singapore: Attractions & Things to Do",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/merlion-park-skypark-carousel01-rect.jpg,,One Fullerton
TouristAttraction,103.86081,1.283456,"The Marina Bay Sands<sup>®</sup> SkyPark is a roof like no other, perched 200 metres in the air with an infinity pool and observation deck in the clouds.",Marina Bay Sands® SkyPark,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/marina-bay-sands-skypark-carousel01-rect.jpg,,"Level 57, 10 Bayfront Avenue"
TouristAttraction,103.82033,1.25675,Experience endless excitement at Resorts World Sentosa with a variety of attractions and entertainment hot spots.,"Resorts World Sentosa, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/resorts-world-sentosa-carousel01-rect.jpg,,"8 Sentosa Gateway, Sentosa Island"
TouristAttraction,103.817589,1.280569,This 10-km stretch of connecting trails lets you walk among the trees to observe a wide variety of flora and fauna in their natural habitat.,Singapore Garden & Singapore Park,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/resorts-world-sentosa-carousel01-rect.jpg,,"Henderson Road, Mount Faber Park, Telok Blangah Hill Park"
TouristAttraction,103.730149,1.44672,This ecological wonder will transport you into a world rich in animal and plant life.,Sungei Buloh,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/the-southern-ridges-carousel01-rect.jpg,,301 Neo Tiew Crescent
TouristAttraction,103.8194932,1.2573549,"Immerse yourself underwater at the S.E.A. Aquarium™ and discover more than 100,000 marine animals.",S.E.A. Aquarium,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/sungei-buloh-wetland-reserve-carousel01-rect.jpg,,"8 Sentosa Gateway, Sentosa Island"
TouristAttraction,103.84676,1.28848,"Get to know historic Singapore River and its famous quays: Boat Quay, Clarke Quay and Robertson Quay. After all, this is where it all began.",Singapore River: History & Culture Tours,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/singapore-river-carousel01-rect.jpg,,10 Eu Tong Sen Street
